Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,domain,Realistic_Salary_INR,Fresher_Salary_INR,Top_Skills,Job_Type,Work_Mode,Industry_Demand_2025,Learning_Difficulty,Skill_Gap_Index,Degree_Needed,AI_Assist_Boost,Stress_Level,WLB_Score,Future_Category
Teacher,13981.0,14,PhD,0.08,0.53,0.29,Low,0.84,0.7,0.41,0.17,0.16,0.25,0.55,0.71,0.66,0.28,education,162739.0,32742.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Remote,71,7,54,PhD,0.11,6,4,Stable
Financial Analyst,8002.0,0,High School,0.74,1.05,0.54,Medium,0.42,0.25,0.36,0.76,0.01,0.12,0.05,0.04,0.86,0.7,general,184759.0,35910.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Healthcare,Hybrid,65,9,14,Master,0.34,7,3,Risky
AI Engineer,30104.0,13,PhD,0.1,0.99,0.17,Low,0.17,0.43,0.4,0.62,0.64,0.05,0.37,0.63,0.5,0.86,software,332219.0,86063.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Remote,61,3,80,None,0.25,2,4,High Growth
Software Engineer,9490.0,2,High School,0.16,0.57,0.56,Medium,0.03,0.59,0.94,0.58,0.39,0.64,0.46,0.55,0.94,0.39,software,272551.0,65903.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Healthcare,Remote,99,3,85,PhD,0.13,2,7,Risky
Mechanic,16394.0,2,Master's,0.91,0.7,0.33,Medium,0.1,0.02,0.09,0.68,0.07,0.32,0.84,0.02,0.81,0.28,construction,95140.0,39024.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Onsite,59,3,86,None,0.42,7,7,Stable
Customer Support,7984.0,9,PhD,0.7,1.13,0.92,High,0.74,0.8,0.28,0.18,0.75,0.81,0.99,0.41,0.37,0.78,general,102641.0,52726.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Healthcare,Hybrid,84,9,21,PhD,0.79,5,5,Risky
HR Specialist,21368.0,6,Master's,0.93,1.36,0.47,Medium,0.75,0.75,0.1,0.9,0.51,0.83,0.32,0.9,0.39,0.01,general,147915.0,29212.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Onsite,66,4,70,Bachelor,0.27,5,3,Stable
HR Specialist,24704.0,7,Master's,0.09,0.82,0.68,Medium,0.95,0.57,0.63,0.45,0.29,0.33,0.67,0.75,0.79,0.79,general,87426.0,39881.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Onsite,69,3,27,PhD,0.39,6,3,Risky
Teacher,27378.0,5,Master's,0.49,0.56,0.19,Low,0.44,0.89,0.35,0.12,0.14,0.76,0.62,0.1,0.08,0.7,education,124131.0,29857.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Hybrid,69,3,74,Diploma,0.79,7,4,Declining
Retail Worker,16579.0,0,High School,0.82,1.21,0.72,High,0.08,0.99,0.37,0.37,0.81,0.95,0.99,0.75,0.38,0.08,data,459316.0,63067.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Hybrid,54,8,48,Bachelor,0.25,3,3,Stable
Retail Worker,24510.0,4,Bachelor's,0.56,0.92,0.93,High,0.11,0.49,0.01,0.47,0.06,0.12,0.12,0.65,0.75,0.58,data,527428.0,105754.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Onsite,56,7,58,Bachelor,0.19,8,9,Declining
Truck Driver,21990.0,0,High School,0.37,0.79,0.92,High,0.22,0.96,0.01,0.97,0.04,0.89,0.53,0.99,0.07,0.55,general,174675.0,45072.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Hybrid,82,8,54,Master,0.27,5,5,High Growth
Teacher,10522.0,8,PhD,0.52,1.13,0.22,Low,0.45,0.63,0.58,0.9,0.05,0.28,0.95,0.89,0.46,0.62,education,124571.0,42511.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Remote,88,3,17,Diploma,0.73,2,7,High Growth
Mechanic,14328.0,4,Bachelor's,0.19,0.96,0.44,Medium,0.58,0.08,0.97,0.99,0.7,0.54,0.31,0.81,0.68,0.16,construction,77282.0,45067.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Onsite,63,8,70,None,0.31,6,3,Stable
Mechanic,15443.0,3,Bachelor's,0.82,1.45,0.59,Medium,0.61,0.42,0.93,0.87,0.05,0.03,0.38,0.81,0.99,0.15,construction,129108.0,55908.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Hybrid,94,9,34,Bachelor,0.23,3,6,Declining
Customer Support,22150.0,3,Bachelor's,0.38,1.47,0.91,High,0.84,0.47,0.41,0.27,0.06,0.86,0.81,1.0,1.0,0.56,general,134070.0,61992.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Onsite,94,9,79,PhD,0.48,3,4,High Growth
Chef,12846.0,14,PhD,0.94,1.35,0.4,Medium,0.45,0.13,0.95,0.61,0.23,0.67,0.62,0.36,0.11,0.67,general,68364.0,44960.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Onsite,62,5,24,PhD,0.4,8,9,Risky
Retail Worker,21125.0,3,Bachelor's,0.77,1.02,0.91,High,0.55,0.56,0.88,0.4,0.13,0.03,0.76,0.62,0.7,0.21,data,684808.0,86013.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Hybrid,85,5,97,Bachelor,0.33,9,7,Risky
Graphic Designer,26717.0,7,PhD,0.98,1.11,0.55,Medium,0.55,0.09,0.73,0.55,0.45,0.91,0.3,0.52,0.7,0.8,general,189625.0,38326.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Remote,95,3,83,None,0.1,7,8,Stable
Doctor,34758.0,2,Bachelor's,0.84,1.27,0.07,Low,0.05,0.62,0.35,0.21,0.58,0.34,0.54,0.46,0.58,0.4,health,92426.0,47907.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Remote,86,3,40,None,0.67,2,6,High Growth
Research Scientist,12579.0,8,PhD,0.18,1.2,0.15,Low,0.87,0.52,0.97,0.6,0.22,0.82,0.35,0.35,0.03,0.55,data,463340.0,85014.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Onsite,82,4,38,Diploma,0.8,9,9,Stable
Construction Worker,32323.0,7,PhD,0.21,0.86,0.83,High,0.69,0.04,0.8,0.63,0.08,0.87,0.92,0.06,0.28,0.81,construction,85559.0,43958.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Technical,Hybrid,65,7,88,None,0.56,4,7,Declining
Customer Support,26331.0,9,PhD,0.99,1.04,0.93,High,0.24,0.76,0.53,0.72,0.06,0.15,0.13,0.69,0.84,0.75,general,74618.0,58612.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Onsite,99,8,92,Diploma,0.11,8,4,Declining
Data Scientist,23296.0,0,High School,0.87,0.85,0.46,Medium,0.1,0.74,0.18,0.56,0.84,0.09,0.54,0.23,0.34,0.47,data,278232.0,126185.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Technical,Remote,94,5,91,None,0.21,9,6,Risky
Construction Worker,9014.0,6,Master's,0.65,0.98,0.85,High,0.74,0.56,0.59,0.56,0.38,0.34,0.9,0.61,0.24,0.5,construction,69790.0,43434.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Remote,54,4,71,Bachelor,0.6,6,6,Risky
Teacher,34219.0,1,High School,0.93,0.51,0.11,Low,0.37,0.49,0.85,0.09,0.81,0.06,0.84,0.05,0.02,0.7,education,145076.0,41533.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Hybrid,58,4,22,Diploma,0.89,8,8,Stable
UX Researcher,9387.0,4,Bachelor's,0.4,1.47,0.65,Medium,0.82,0.26,0.17,0.67,0.93,0.56,0.57,0.28,0.77,0.19,general,70938.0,55130.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Onsite,66,6,63,PhD,0.21,3,4,Risky
Retail Worker,17304.0,1,High School,0.43,1.01,0.76,High,0.11,0.61,0.29,0.58,0.15,0.48,0.53,0.05,0.34,0.13,data,239676.0,108871.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Remote,94,3,51,Bachelor,0.8,8,6,High Growth
Security Guard,28310.0,2,High School,0.99,0.82,0.9,High,0.25,0.68,0.76,0.6,0.47,0.41,0.35,0.93,0.83,0.97,general,130994.0,30949.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Remote,53,3,15,Bachelor,0.76,8,6,High Growth
AI Engineer,23387.0,2,High School,0.99,0.71,0.14,Low,0.93,0.72,0.05,0.78,0.83,0.75,0.8,0.83,0.19,0.24,software,346411.0,89132.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Technical,Remote,66,5,24,Bachelor,0.31,2,3,High Growth
AI Engineer,7219.0,2,High School,0.91,0.82,0.2,Low,0.68,0.45,0.71,0.9,0.62,0.54,0.44,0.58,0.36,0.39,software,348911.0,76676.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Onsite,80,7,64,None,0.62,9,6,Stable
UX Researcher,35693.0,0,High School,0.07,0.73,0.52,Medium,0.43,0.33,0.73,0.69,0.17,0.88,0.5,0.74,0.57,1.0,general,78657.0,56164.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Onsite,87,6,32,Diploma,0.69,8,3,High Growth
Customer Support,30653.0,0,High School,0.71,1.28,0.74,High,0.2,0.71,0.49,0.75,0.1,0.54,0.38,0.46,0.6,0.5,general,179687.0,54524.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Onsite,67,5,25,Master,0.15,7,7,Risky
Data Scientist,12024.0,3,Master's,0.49,0.91,0.61,Medium,0.01,0.6,0.57,0.72,0.6,0.83,0.96,0.34,0.23,0.42,data,307452.0,111803.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Hybrid,89,9,79,Master,0.22,5,4,High Growth
Graphic Designer,34808.0,0,High School,0.61,1.41,0.36,Medium,0.1,0.26,0.73,0.59,0.1,0.92,0.79,0.02,0.65,0.77,general,78326.0,66969.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Remote,81,9,54,None,0.32,5,3,Declining
Doctor,22874.0,3,Bachelor's,0.07,0.58,0.08,Low,0.84,0.91,0.12,0.24,0.17,0.19,0.84,0.33,0.31,0.23,health,99571.0,54877.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Hybrid,85,9,87,Master,0.83,8,7,Declining
Mechanic,22410.0,5,Master's,0.38,1.24,0.38,Medium,0.79,0.6,0.11,0.41,0.86,0.92,0.47,0.48,0.92,0.59,construction,122932.0,33350.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Remote,82,5,33,Bachelor,0.82,9,3,High Growth
Research Scientist,17259.0,3,Master's,0.91,0.75,0.19,Low,0.17,0.03,0.31,0.78,0.28,0.22,0.21,0.52,0.98,0.46,data,607374.0,93055.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Hybrid,99,4,55,Diploma,0.38,2,6,High Growth
Financial Analyst,31811.0,14,PhD,0.86,1.04,0.37,Medium,0.3,0.31,0.4,0.43,0.8,0.35,0.47,0.62,0.38,0.84,general,97922.0,64024.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Hybrid,86,8,73,PhD,0.56,6,8,Stable
UX Researcher,28586.0,4,Master's,0.29,1.21,0.51,Medium,0.53,0.48,0.5,0.77,0.1,0.33,0.08,0.75,0.27,0.9,general,79409.0,30553.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Remote,58,8,80,Diploma,0.12,6,8,Risky
UX Researcher,19824.0,2,High School,0.03,0.66,0.59,Medium,0.66,0.03,0.22,0.23,0.67,0.02,0.1,0.8,0.18,0.65,general,71130.0,66469.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Technical,Onsite,70,6,46,Bachelor,0.49,3,5,High Growth
Security Guard,31526.0,1,Bachelor's,0.1,0.74,0.88,High,0.86,0.83,0.4,0.67,0.2,0.29,0.9,0.01,0.09,0.21,general,102224.0,68364.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Onsite,63,3,22,PhD,0.22,9,3,High Growth
Security Guard,20014.0,0,High School,0.18,1.08,0.81,High,0.89,0.82,0.34,0.26,0.38,0.59,0.27,0.62,0.41,0.55,general,134443.0,55591.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Onsite,55,3,44,Diploma,0.7,6,3,Risky
Nurse,22203.0,3,Bachelor's,0.22,1.47,0.24,Low,0.11,0.57,0.99,0.47,0.18,0.48,0.51,0.74,0.7,0.4,health,204685.0,31977.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Healthcare,Hybrid,66,9,15,PhD,0.53,7,8,Stable
Graphic Designer,12901.0,7,Master's,0.65,0.92,0.35,Medium,0.9,0.69,0.68,0.82,0.53,0.82,0.5,0.07,0.41,0.5,general,97130.0,33482.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Remote,71,8,89,Master,0.32,2,6,Declining
AI Engineer,26019.0,11,PhD,0.11,0.64,0.12,Low,0.27,0.73,0.25,0.63,0.49,0.57,0.84,0.4,0.77,0.42,software,224193.0,51997.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Remote,93,6,76,Bachelor,0.44,7,8,Declining
Chef,27875.0,2,Master's,0.96,0.68,0.34,Medium,0.77,0.07,0.84,0.44,0.92,0.72,0.61,0.95,0.4,0.95,general,70006.0,46463.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Onsite,83,5,92,None,0.67,4,6,High Growth
Data Scientist,29907.0,1,High School,0.48,0.77,0.52,Medium,0.16,0.84,0.85,0.96,0.15,0.62,0.47,0.34,0.35,0.41,data,674472.0,87248.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Onsite,50,3,59,PhD,0.75,7,6,Risky
Marketing Manager,7214.0,9,PhD,0.6,0.96,0.33,Medium,0.08,0.0,0.97,0.01,0.1,0.31,0.81,0.96,0.79,0.69,sales,115428.0,55715.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Non-Technical,Hybrid,80,5,65,None,0.28,6,6,Risky
Marketing Manager,20912.0,2,High School,0.54,1.37,0.59,Medium,0.81,0.66,0.69,0.85,0.25,0.49,0.22,0.99,0.94,0.04,sales,89140.0,34018.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Hybrid,85,6,97,Bachelor,0.18,9,5,Stable
Construction Worker,16234.0,13,PhD,0.93,0.68,0.84,High,0.92,0.03,0.7,0.3,0.92,0.97,0.94,0.47,0.86,0.84,construction,162280.0,47732.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Onsite,67,5,77,Master,0.53,8,8,Risky
Research Scientist,16144.0,7,Master's,0.83,0.54,0.2,Low,0.23,0.12,0.08,0.7,0.34,0.72,0.07,0.32,0.54,0.79,data,606150.0,118062.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Onsite,83,6,39,Bachelor,0.88,5,9,Risky
Customer Support,34946.0,7,Master's,0.63,1.39,0.85,High,0.23,0.02,0.87,0.02,0.87,0.53,0.94,0.8,1.0,0.35,general,68051.0,58577.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Hybrid,73,6,76,Diploma,0.14,5,9,High Growth
Mechanic,14310.0,0,High School,0.4,0.98,0.55,Medium,0.87,0.98,0.77,0.42,0.42,0.74,0.24,0.11,0.35,0.29,construction,146360.0,49570.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Management,Hybrid,94,5,53,Bachelor,0.55,8,3,High Growth
Data Scientist,20549.0,1,Bachelor's,0.23,0.54,0.31,Medium,0.99,0.43,0.38,0.68,0.22,0.95,0.79,0.09,0.42,0.88,data,269958.0,143912.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Healthcare,Onsite,66,4,80,Diploma,0.63,4,7,Stable
Software Engineer,32762.0,7,PhD,0.61,0.67,0.7,Medium,0.23,0.94,0.65,0.61,0.51,0.23,0.18,0.22,0.19,0.78,software,122412.0,111942.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Creative,Remote,55,4,50,Diploma,0.11,8,8,High Growth
Research Scientist,35648.0,1,High School,0.06,1.47,0.27,Low,0.93,0.99,0.17,0.4,0.76,0.7,0.15,0.82,0.22,0.22,data,593269.0,85601.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Healthcare,Onsite,53,3,90,None,0.25,8,6,Stable
Financial Analyst,25382.0,2,Bachelor's,0.59,1.08,0.34,Medium,0.88,0.27,0.13,0.89,0.96,0.86,0.81,0.66,0.55,0.09,general,137251.0,36034.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Field Work,Hybrid,89,8,88,Diploma,0.39,5,4,High Growth
Marketing Manager,13334.0,2,Master's,0.37,0.76,0.59,Medium,0.5,0.08,0.22,0.68,0.08,0.85,0.5,0.48,0.59,0.82,sales,153787.0,37105.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Healthcare,Hybrid,67,6,83,None,0.67,6,8,Risky
Financial Analyst,7582.0,6,Master's,0.68,1.07,0.41,Medium,0.88,0.8,0.66,0.85,0.87,0.71,0.84,0.7,0.68,0.62,general,103438.0,63412.0,"['AI Literacy', 'Data Analysis', 'Problem Solving', 'Automation Tools', 'Digital Communication']",Operations,Hybrid,74,9,90,Diploma,0.33,8,3,Stable
